iter	Accuracy	MultiClass
0	0.6492537313	0.6915004595
1	0.7388059701	0.6895542279
2	0.7313432836	0.6877883771
3	0.7313432836	0.6869372272
4	0.7313432836	0.6856732632
5	0.7164179104	0.6843878166
6	0.6940298507	0.6834974122
7	0.6940298507	0.6824908164
8	0.7089552239	0.6809395678
9	0.723880597	0.6791813156
10	0.723880597	0.6778131095
11	0.723880597	0.6771242942
12	0.723880597	0.6750028805
13	0.7462686567	0.6732189638
14	0.7537313433	0.6720130798
15	0.7462686567	0.6713654481
16	0.7388059701	0.67085346
17	0.7388059701	0.6691599564
18	0.7686567164	0.6679387929
19	0.7686567164	0.66674021
20	0.7462686567	0.6652860079
21	0.7686567164	0.6641899905
22	0.7313432836	0.6633497554
23	0.7313432836	0.6626694005
24	0.7462686567	0.6601292527
25	0.7537313433	0.6589166273
26	0.7313432836	0.6577130875
27	0.7313432836	0.657116945
28	0.723880597	0.6562272735
29	0.723880597	0.6548218962
30	0.7313432836	0.6537206869
31	0.7388059701	0.6520306506
32	0.7313432836	0.6514673801
33	0.7313432836	0.6498621186
34	0.7388059701	0.6485649297
35	0.7388059701	0.6468917624
36	0.7313432836	0.6460743173
37	0.7388059701	0.6444693691
38	0.7388059701	0.6441391148
39	0.7388059701	0.6433462789
40	0.7388059701	0.6424341652
41	0.7313432836	0.641623856
42	0.7388059701	0.6404793748
43	0.7388059701	0.6392962743
44	0.7313432836	0.6380731021
45	0.7462686567	0.636231634
46	0.7388059701	0.6354664591
47	0.7388059701	0.6344875714
48	0.7388059701	0.6329028827
49	0.7388059701	0.6326257629
50	0.7388059701	0.6322694613
51	0.7462686567	0.631164705
52	0.7462686567	0.6303133842
53	0.7462686567	0.629592462
54	0.7388059701	0.6290366991
55	0.7388059701	0.6278443202
56	0.7388059701	0.6267017737
57	0.7313432836	0.625239433
58	0.7313432836	0.6241928358
59	0.7388059701	0.6227815863
60	0.7388059701	0.6223604542
61	0.7388059701	0.6211488185
62	0.7388059701	0.6206116112
63	0.7388059701	0.6201428478
64	0.7388059701	0.6193137548
65	0.7388059701	0.6186102271
66	0.7313432836	0.6181782979
67	0.7313432836	0.6173948534
68	0.7313432836	0.6169973385
69	0.7313432836	0.6165427893
70	0.7313432836	0.6151777751
71	0.7388059701	0.6138237947
72	0.7388059701	0.612658863
73	0.7388059701	0.6117911754
74	0.7388059701	0.6113462738
75	0.7462686567	0.6099478429
76	0.7388059701	0.6093647655
77	0.7388059701	0.608348012
78	0.7388059701	0.6070776764
79	0.7388059701	0.6060713026
80	0.7388059701	0.6055650927
81	0.7388059701	0.6054561923
82	0.7388059701	0.6043450588
83	0.7388059701	0.6039197679
84	0.7388059701	0.6034239913
85	0.7388059701	0.6028989407
86	0.7388059701	0.601544109
87	0.7388059701	0.6001699354
88	0.7388059701	0.5992507169
89	0.7388059701	0.5984278233
90	0.7388059701	0.5972679156
91	0.7388059701	0.5968522368
92	0.7388059701	0.5961422107
93	0.7388059701	0.5958399353
94	0.7388059701	0.5952294756
95	0.7462686567	0.594485828
96	0.7462686567	0.5941789755
97	0.7462686567	0.5936419092
98	0.7462686567	0.5926607098
99	0.7537313433	0.5912855475
100	0.7462686567	0.590710825
101	0.7462686567	0.5900863017
102	0.7462686567	0.5896118252
103	0.7462686567	0.5893507553
104	0.7462686567	0.5889424733
105	0.7462686567	0.5883616219
106	0.7462686567	0.5874931222
107	0.7462686567	0.5866675204
108	0.7462686567	0.5862352785
109	0.7462686567	0.585524053
110	0.7462686567	0.5847177345
111	0.7462686567	0.5836178954
112	0.7462686567	0.582966985
113	0.7462686567	0.5820853217
114	0.7462686567	0.5813079776
115	0.7537313433	0.580188877
116	0.7537313433	0.5793870351
117	0.7537313433	0.578389924
118	0.7537313433	0.578094427
119	0.7537313433	0.5773814547
120	0.7537313433	0.5772502272
121	0.7611940299	0.5768018196
122	0.7537313433	0.5763007187
123	0.7537313433	0.5760294622
124	0.7537313433	0.5750940521
125	0.7462686567	0.5746228254
126	0.7462686567	0.5738624433
127	0.7537313433	0.5735886143
128	0.7611940299	0.5724589416
129	0.7611940299	0.5721509567
130	0.7611940299	0.5718332046
131	0.7611940299	0.5705693416
132	0.7537313433	0.5699108722
133	0.7537313433	0.5696925889
134	0.7611940299	0.5689809549
135	0.7611940299	0.5685599932
136	0.7611940299	0.5682041702
137	0.7611940299	0.5674007214
138	0.7611940299	0.5666224172
139	0.7686567164	0.566052497
140	0.7686567164	0.5653684299
141	0.7611940299	0.5646231809
142	0.7686567164	0.564282744
143	0.7686567164	0.5634275284
144	0.7686567164	0.5630580809
145	0.7686567164	0.5621448764
146	0.776119403	0.5615268421
147	0.776119403	0.5612917118
148	0.776119403	0.5605455804
149	0.776119403	0.5596866821
150	0.776119403	0.5591385812
151	0.7686567164	0.5582053397
152	0.776119403	0.5577553256
153	0.776119403	0.557190775
154	0.776119403	0.5569277246
155	0.776119403	0.5563915505
156	0.7686567164	0.5556638323
157	0.7686567164	0.5551762021
158	0.7686567164	0.5545250007
159	0.776119403	0.5538537269
160	0.776119403	0.552887638
161	0.7835820896	0.5521992528
162	0.7835820896	0.5514081767
163	0.7835820896	0.5509480722
164	0.7835820896	0.5508834847
165	0.7835820896	0.5502289167
166	0.7835820896	0.549391381
167	0.7835820896	0.5486885078
168	0.7835820896	0.548360219
169	0.7910447761	0.5478790913
170	0.7910447761	0.5471854632
171	0.7835820896	0.5468855371
172	0.7910447761	0.5463772943
173	0.7910447761	0.5461622562
174	0.7910447761	0.5456842178
175	0.7910447761	0.5454965578
176	0.7910447761	0.544997573
177	0.7910447761	0.5443980296
178	0.7910447761	0.543982211
179	0.7910447761	0.54341169
180	0.7910447761	0.542950189
181	0.7910447761	0.5425737522
182	0.7910447761	0.5411788182
183	0.7910447761	0.5408589912
184	0.7985074627	0.5400060416
185	0.7985074627	0.5391417045
186	0.7985074627	0.538375209
187	0.7985074627	0.5380948955
188	0.7910447761	0.5376133248
189	0.7985074627	0.5370110761
190	0.7985074627	0.5364605337
191	0.7985074627	0.5356531982
192	0.7985074627	0.5353385142
193	0.7985074627	0.5346729741
194	0.7985074627	0.5340849409
195	0.7985074627	0.5336651545
196	0.7985074627	0.5333504372
197	0.7985074627	0.5330435163
198	0.7910447761	0.5326903259
199	0.7985074627	0.531997821
200	0.7985074627	0.5313663266
201	0.7985074627	0.530709706
202	0.7985074627	0.5302850164
203	0.7985074627	0.530025591
