iter	Passed	Remaining
0	150	150574
1	159	79447
2	174	58057
3	186	46516
4	199	39775
5	212	35162
6	225	32043
7	237	29492
8	251	27697
9	265	26279
10	278	25079
11	288	23789
12	302	22969
13	316	22289
14	329	21654
15	343	21155
16	358	20731
17	372	20313
18	385	19911
19	399	19555
20	412	19233
21	426	18956
22	440	18697
23	453	18461
24	467	18231
25	481	18038
26	495	17840
27	508	17657
28	522	17483
29	536	17352
30	551	17253
31	572	17303
32	588	17234
33	604	17176
34	620	17114
35	637	17065
36	653	17003
37	670	16970
38	681	16787
39	698	16759
40	713	16699
41	729	16628
42	744	16561
43	757	16467
44	772	16392
45	789	16365
46	821	16652
47	833	16539
48	856	16619
49	869	16524
50	886	16496
51	903	16462
52	917	16400
53	933	16360
54	950	16336
55	967	16306
56	985	16300
57	1001	16262
58	1018	16240
59	1034	16210
60	1052	16196
61	1074	16252
62	1092	16241
63	1111	16262
64	1129	16248
65	1147	16243
66	1164	16216
67	1182	16208
68	1199	16178
69	1215	16144
70	1231	16114
71	1247	16084
72	1264	16054
73	1280	16019
74	1295	15976
75	1310	15931
76	1327	15914
77	1342	15874
78	1357	15827
79	1371	15768
80	1386	15730
81	1390	15571
82	1406	15534
83	1418	15469
84	1432	15424
85	1447	15385
86	1461	15342
87	1476	15299
88	1505	15412
89	1513	15307
90	1528	15270
91	1544	15244
92	1563	15246
93	1580	15229
94	1597	15217
95	1620	15257
96	1636	15235
97	1652	15209
98	1667	15175
99	1683	15152
100	1699	15126
101	1715	15103
102	1731	15080
103	1748	15060
104	1764	15038
105	1780	15014
106	1796	14994
107	1812	14971
108	1829	14953
109	1845	14933
110	1861	14908
111	1877	14885
112	1894	14869
113	1910	14845
114	1926	14823
115	1942	14806
116	1956	14764
117	1979	14798
118	2000	14808
119	2027	14870
120	2051	14904
121	2070	14898
122	2085	14872
123	2101	14847
124	2116	14814
125	2132	14789
126	2147	14760
127	2161	14723
128	2187	14769
129	2201	14736
130	2216	14703
131	2231	14674
132	2240	14606
133	2257	14586
134	2275	14579
135	2292	14563
136	2309	14549
137	2325	14528
138	2344	14521
139	2360	14500
140	2376	14481
141	2396	14482
142	2413	14463
143	2429	14441
144	2445	14417
145	2461	14398
146	2477	14378
147	2488	14325
148	2505	14307
149	2521	14287
150	2537	14266
151	2553	14247
152	2569	14226
153	2585	14205
154	2601	14182
155	2616	14157
156	2632	14134
157	2646	14103
158	2660	14072
159	2674	14043
160	2689	14014
161	2704	13989
162	2719	13965
163	2734	13937
164	2743	13883
165	2757	13854
166	2775	13842
167	2796	13847
168	2813	13834
169	2825	13794
170	2839	13765
171	2853	13736
172	2867	13706
173	2879	13667
174	2893	13640
175	2907	13610
176	2920	13580
177	2933	13548
178	2947	13519
179	2959	13481
180	2969	13435
181	2982	13404
182	2996	13376
183	3008	13343
184	3022	13313
185	3035	13285
186	3047	13248
187	3060	13220
188	3073	13189
189	3087	13162
190	3101	13137
191	3115	13112
192	3129	13085
193	3142	13057
194	3156	13031
195	3170	13004
196	3183	12976
197	3197	12950
198	3211	12925
199	3227	12910
200	3245	12902
201	3262	12886
202	3278	12870
203	3294	12853
204	3310	12838
205	3327	12824
206	3343	12807
207	3360	12795
208	3376	12777
209	3391	12759
210	3406	12739
211	3421	12718
212	3436	12696
213	3450	12674
214	3465	12653
215	3478	12626
216	3493	12604
217	3507	12581
218	3520	12555
219	3534	12532
220	3547	12503
221	3560	12478
222	3574	12454
223	3588	12431
